,expl,name,time,value
0,취수구-수온,2200-RM001,2024-07-25 13:50,12.3
1,취수구-염분,2200-RM002,2024-07-25 13:50,34.3
2,배수구-수온,2220-RM005,2024-07-25 13:50,12.4
3,배수구-염분,2220-RM006,2024-07-25 13:50,34.3
